Test fapi-rw-id2-ensure-client-assertion-with-wrong-aud-fails eMF3BqPW7Z249bq INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.2 seconds

Test fapi-rw-id2-ensure-client-assertion-with-no-sub-fails KBrJCOsztxG8E8U INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

Test fapi-rw-id2-refresh-token zYQpqo7nc1jmb4G INTERRUPTED - result FAILED. 75 log entries - 47 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

Test fapi-rw-id2-attempt-reuse-authorisation-code-after-30seconds dzhtizV1CaEMQSy INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

Test fapi-rw-id2-attempt-reuse-authorisation-code-after-one-second Bj4EAtNK3FR0yJ5 INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 1.0 seconds

