Test fapi-rw-id2-ensure-client-assertion-with-wrong-aud-fails Iof6GvnnqS90j7h INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.4 seconds

Test fapi-rw-id2-ensure-client-assertion-with-no-sub-fails NfPTvOQJpxDxPWF INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 3.2 seconds

Test fapi-rw-id2-refresh-token 1LeKljQffpOwatc INTERRUPTED - result FAILED. 75 log entries - 47 SUCCESS 3 FAILURE, 0 WARNING, 4.1 seconds

Test fapi-rw-id2-attempt-reuse-authorisation-code-after-30seconds Q0wgoc3kJglmlCf INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.5 seconds

Test fapi-rw-id2-attempt-reuse-authorisation-code-after-one-second ZP22OOjOEcSSjMJ INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

